MapCode,ProductionType,min,q001
AT,Biomass,0,4
AT,Fossil Gas,0,0
AT,Fossil Hard coal,0,0
AT,Fossil Oil,0,0
AT,Geothermal,0.07,0.07
AT,Hydro Pumped Storage,0,0
AT,Hydro Run-of-river and poundage,1126.8,1238.0048
AT,Hydro Water Reservoir,5.2,19.2
AT,Other,22,22
AT,Other renewable,0,0
AT,Solar,0,0
AT,Waste,100,100
AT,Wind Onshore,4,4
BA,Fossil Brown coal/Lignite,0,0
BA,Fossil Hard coal,0,0
BA,Hydro Pumped Storage,0,0
BA,Hydro Run-of-river and poundage,0,0
BA,Hydro Water Reservoir,0,0
BA,Other renewable,0,0
BA,Wind Onshore,0,0
BE,Biomass,20.58,23.8924
BE,Fossil Gas,444.2,527.8768
BE,Fossil Hard coal,0,0
BE,Fossil Oil,0,0
BE,Hydro Pumped Storage,0,1.21856
BE,Hydro Run-of-river and poundage,0,0
BE,Nuclear,1853.05,2007.39443
BE,Other,74.73,149.48
BE,Solar,0,0
BE,Waste,120.54,130.23
BE,Wind Offshore,0,0.17584
BE,Wind Onshore,1.32,2.98366
BG,Biomass,4,5.011000000000003
BG,Fossil Brown coal/Lignite,554,673
BG,Fossil Gas,89,97
BG,Fossil Hard coal,15,20
BG,Hydro Pumped Storage,0,0
BG,Hydro Run-of-river and poundage,11,13
BG,Hydro Water Reservoir,2,5
BG,Nuclear,411,736.987
BG,Solar,0,0
BG,Waste,0,0
BG,Wind Onshore,0,0
CH,Hydro Pumped Storage,0.1,3.55
CH,Hydro Run-of-river and poundage,37.33,50.9861
CH,Hydro Water Reservoir,45.78,76.35182999999999
CH,Nuclear,0,348.0061
CH,Solar,0,0
CH,Wind Onshore,0,0
CY,Fossil Oil,196.91,206.56755
CY,Wind Onshore,0,0
CZ,Biomass,138.54,147.19928
CZ,Fossil Brown coal/Lignite,1222.57,1309.7
CZ,Fossil Coal-derived gas,0,0
CZ,Fossil Gas,78.42,81.73295
CZ,Fossil Hard coal,42.8,58.31236
CZ,Fossil Oil,0,0
CZ,Hydro Pumped Storage,0,0
CZ,Hydro Run-of-river and poundage,0,6.71
CZ,Hydro Water Reservoir,0.82,5.061179999999999
CZ,Nuclear,1884.45,2250.3736
CZ,Other,0,0
CZ,Other renewable,215.26,238.07189999999997
CZ,Solar,0,0
CZ,Waste,6.56,7
CZ,Wind Onshore,0.96,2.0505899999999997
DE,Biomass,3573.99,3802.4556
DE,Fossil Brown coal/Lignite,2874.72,3171.23
DE,Fossil Coal-derived gas,0,0
DE,Fossil Gas,1213.03,1809.0822400000002
DE,Fossil Hard coal,730.81,839.0229599999999
DE,Fossil Oil,0.24,7.71
DE,Geothermal,5.77,8.24
DE,Hydro Pumped Storage,0,0.03
DE,Hydro Run-of-river and poundage,779.34,830.95
DE,Hydro Water Reservoir,1.28,7.237439999999999
DE,Nuclear,2006.44,2216.53
DE,Other,128.8,168.55
DE,Other renewable,33.4,87.63
DE,Solar,0,0
DE,Waste,83.2,138.1148
DE,Wind Offshore,0,0.4125300000000001
DE,Wind Onshore,93.03,230.98529000000002
DK,Biomass,2.24,4.03
DK,Fossil Gas,37.32,61.13
DK,Fossil Hard coal,36.55,41.26
DK,Fossil Oil,7.83,8.83
DK,Solar,0,0
DK,Waste,29.22,64.47
DK,Wind Offshore,0.01,0.52056
DK,Wind Onshore,11.1,25.11
EE,Biomass,7.6,19.3024
EE,Fossil Coal-derived gas,0,8.0024
EE,Fossil Gas,0,0
EE,Fossil Oil shale,0,0
EE,Fossil Peat,0,0
EE,Hydro Run-of-river and poundage,0,0
EE,Other,0,0
EE,Other renewable,0.6,0.6
EE,Solar,0,0
EE,Waste,0,0
EE,Wind Onshore,0.2,0.6
ES,Biomass,143,156
ES,Fossil Brown coal/Lignite,0,0
ES,Fossil Coal-derived gas,0,0
ES,Fossil Gas,1476,1820
ES,Fossil Hard coal,0,0
ES,Fossil Oil,28,36
ES,Fossil Oil shale,0,0
ES,Fossil Peat,0,0
ES,Geothermal,0,0
ES,Hydro Pumped Storage,0,0
ES,Hydro Run-of-river and poundage,288,304
ES,Hydro Water Reservoir,139,200
ES,Marine,0,0
ES,Nuclear,3621,3759.072
ES,Other,0,0
ES,Other renewable,68,72
ES,Solar,0,0
ES,Waste,156,170.07299999999998
ES,Wind Offshore,0,0
ES,Wind Onshore,173,410.144
FI,Biomass,236.1,238.99463999999998
FI,Fossil Gas,58.63,67.15159
FI,Fossil Hard coal,0,0
FI,Fossil Oil,0,0
FI,Fossil Peat,38.3,42
