year,from,to,q999,max
2020,AT,IT,86.60413333333611,143
2020,UA,BY,396.57329570429374,500
2020,UA,PL,0,0
2020,DK,NL,705.6022624233284,708.73
2020,HR,HU,1286.5022168421071,1383.11
2020,BA,HR,1088.7391026904143,1165
2020,SI,HR,1479.8130641025728,1723
2020,LV,LT,556.9601370468628,602
2020,BY,LT,272.5746666666673,332
2020,RO,RS,691.9799472000017,768.07
2020,BA,RS,361.33708400000233,431.47
2020,RU,EE,577.6483623188386,645.7
2020,ES,PT,3609.411920956946,3942.45
2020,ES,FR,3626.297682072729,3749.97
2020,SI,AT,1313.1745329625674,1381.81
2020,BY,UA,639.4872105263136,684
2020,PL,UA,218.03293594771236,220.56
2020,NL,DK,700.5392806739926,700.6
2020,HR,RS,433.9022629784017,506
2020,DE,NL,4602.379018526323,4828.85
2020,RO,BG,772.6947468531495,885
2020,RO,UA,839.808960784312,934
2020,NL,NO,706.788345974026,707.11
2020,ME,BA,1536.5898958383873,1644.52
2020,BA,ME,471.66242975562375,549.5
2020,PT,ES,3673.3974669313907,4443.31
2020,UA,SK,1028.0161281523774,1092.05
2020,UA,RU,717.0199715142401,817
2020,DE,DK,3024.461425000006,3160.06
2020,LT,PL,491.78894279738563,493.39
2020,DK,NO,1632.5403916666664,1633.23
2020,NO,DK,1377.5384529937887,1551.01
2020,HU,HR,748.1762041425258,857.01
2020,HR,SI,1381.715073614559,1458
2020,RS,HR,395.4878311111118,457
2020,NL,DE,3730.4250400000064,4231.77
2020,RU,LT,18.6222857142862,137
2020,RS,BA,487.5268165384627,523.81
2020,RS,ME,660.4915100000013,691
2020,RS,BG,448.22071277777854,477.01
2020,RS,MK,312.54615157894847,393.57
2020,AL,RS,135.9664631111117,223.24
2020,IT,GR,509,509
2020,AT,DE,3468.553700329006,3640.73
2020,BG,TR,328.3780000000006,350
2020,DE,CZ,2278.271498947379,2648.63
2020,CH,FR,3797.3401180748797,4255
2020,LV,RU,269.0671572192521,282
2020,RO,MD,0,0
2020,NO,FI,83.15951069890126,94.11
2020,FI,RU,1492.4698717696103,1510.9
2020,HU,RS,682.9830388571448,753.47
2020,UA,HU,271.03271575757697,300.5
2020,PL,CZ,710.9255384761941,939.6
2020,SK,CZ,2366.4449669218156,2477.4
2020,LT,SE,734.443930821256,734.64
2020,PL,SK,399.3096545454575,505.3
2020,SE,DE,595.6621263193277,595.88
2020,SE,PL,376.7739165000084,590.92
2020,PL,DE,2118.4085019130457,2172.51
2020,LT,BY,1031.2234615384646,1131
2020,RS,RO,523.4688800000014,572.2
2020,EE,RU,548.1571764705805,701.1
2020,IT,FR,3559.428000000011,3881
2020,FR,ES,3433.3885747004642,3554.23
2020,AT,SI,1128.7813547636388,1424.41
2020,SK,UA,455.9547828148066,554.38
2020,DK,DE,2734.1333387643126,3099.34
2020,DE,PL,406.9563613408957,643.18
2020,PL,LT,488.5584843391902,488.96
2020,LT,LV,927.579193684219,1154.5
2020,BG,RO,1395.7246769230817,1540
2020,UA,RO,431.08643749999595,540
2020,NO,NL,731.0120002493506,731.92
2020,FR,IT,1142.6320752941217,1465
2020,FR,BE,2509.612141111116,2889.01
2020,MK,BG,500.6642706766927,559
2020,BG,GR,179.10098036465794,238
2020,DE,LU,3.2368093779906695,15.58
2020,EE,LV,499.04565919999845,558.5
2020,LV,EE,661.2936820720713,737.1
2020,MK,RS,816.3405588235318,859.59
2020,ME,RS,424.8291492571439,480.79
2020,BG,RS,284.50862633855854,308.15
2020,IT,SI,1334.7418045490256,1497.12
2020,GR,IT,506.3243130434783,511
2020,IT,MT,6.521626666666805,24
2020,MT,IT,225.54513725490202,233
2020,BE,LU,153.3385570769229,165.21
2020,BE,FR,2921.4942909941624,3374.56
2020,NL,BE,2412.264171213202,2835.76
2020,GR,BG,502.0220800000004,526
2020,BG,MK,79.82444369747965,118
2020,LU,DE,722.3191853291543,770.59
2020,CZ,DE,2682.7163236842125,2824.59
2020,CH,AT,1797.5188090000036,1957.58
2020,IT,CH,4781.498392059558,5006
2020,RU,LV,128.17746666666838,156
2020,UA,MD,112.47165591397882,149
2020,RU,FI,136.0688588888892,144.71
2020,FI,EE,464.6022194536562,615.38
2020,FI,SE,2720.299546524065,2762.8
2020,AT,HU,1079.299868611115,1148.69
2020,NO,SE,3434.7941104761944,3783.22
2020,SK,PL,1135.181898181822,1236.7
2020,SE,DK,2252.7598950000047,2353.83
2020,SE,LT,681.4056286842116,699.7
2020,SE,NO,3644.761621019611,3787.45
2020,RU,UA,592.3281481481441,705
2020,LT,RU,571.6827534516772,613
2020,RS,AL,177.1233931372553,187.72
2020,FR,CH,3436.497468783079,3726
2020,HR,BA,1156.5890000000038,1323
2020,FI,NO,130.78437142857155,140.98
2020,HU,RO,340.03535249440364,468.75
2020,RS,HU,631.1463392909711,669.65
2020,SK,HU,331.89303555556194,548.44
2020,HU,UA,543.0266693619062,565.69
2020,CZ,AT,486.97611246377244,632.4
2020,IT,AT,256.65494901960824,265
2020,PL,SE,601.084483478261,604.6
2020,FR,DE,3044.877188862759,3548.74
2020,CH,DE,4619.052937983199,4763.47
2020,DE,FR,4538.039367760519,4762
2020,DE,CH,4707.279214095253,5245.72
2020,ME,IT,584,584
2020,BE,NL,3205.8206028571462,3408.93
2020,TR,BG,736.4882003072203,777
2020,AT,CH,1227.1131795341644,1366.62
2020,SI,IT,1051.1869585185257,1231.63
2020,CH,IT,2677.175425641032,3126
2020,MD,UA,171.5605000000021,242
2020,SE,FI,899.7919402353016,1067.01
2020,DK,SE,1986.523651674642,2024.86
2020,AT,CZ,2154.10177777778,2309.1
2020,HU,SK,2016.4755277948736,2137.8
2020,LU,BE,277.52025393188813,302.33
2020,DE,AT,2650.027908181822,2808.52
2020,IT,ME,603,603
2020,CZ,SK,619.4035873291963,772.93
2020,HU,AT,1603.29260033058,1705.26
2020,EE,FI,1017.6264963900965,1028.9
2020,RO,HU,681.7979317647066,708.05
2020,DE,SE,610.0786197942856,610.57
2020,MD,RO,0,0
2020,CZ,PL,1605.9148773667744,1786.76
2020,MK,GR,620.4374761904852,702
2020,GR,TR,517.3543716108467,536
2020,GR,MK,868.0838126721796,973
2020,GR,AL,381.623144575166,448
2020,TR,GR,178.0377346230181,258
2020,AL,GR,457.19797916667153,502
2020,NL,UK,1008.2347033333367,1054.46
2020,UK,NL,1086.7106534662869,1087.17
2020,IE,UK,530.0024435574229,530.02
2020,UK,IE,500.0367437426409,500.05
2020,UK,FR,2032.1151515151516,2034
2020,FR,UK,1977.5822624434388,1978
2020,BE,UK,997.0951059649125,1000.56
2020,UK,BE,1044.3026245751635,1044.39
2020,ME,AL,174.02689041666792,257.41
2020,AL,ME,713.4464023828623,737.33
2020,NO,DE,1449.7005474285713,1451.89
2020,DE,NO,1270.2749345050556,1404.31
2020,DE,BE,1017.2155852864782,1018.28
2020,BE,DE,1014.112540923077,1014.62
2020,XK,ME,73.2,73.2
2020,ME,XK,0,0
2020,XK,RS,134.68,134.68
2020,MK,XK,181.2,181.2
2020,XK,MK,0,0
2020,RS,XK,0,0
2020,XK,AL,176.7,176.7
2020,AL,XK,0,0
2021,HU,HR,1229.162413756612,1289.46
2021,DE,BE,1002.4899725506073,1003.36
2021,BE,DE,1002.2545514765138,1003
2021,DE,AT,2462.0662031745883,2756.93
2021,CH,DE,4892.4376068571355,5080.03
2021,FR,DE,3833.3555532163678,4466.11
2021,CZ,DE,2547.138371538458,2896.72
2021,AT,HU,1104.592477073434,1325.11
2021,RS,HU,516.2402202898537,593.34
2021,HU,RS,761.611295686274,788.24
2021,HU,AT,1456.8611995656836,1588.43
2021,HU,SK,2807.7524873185625,2951.14
2021,AT,CH,736.9584898039185,946.28
2021,CH,FR,3944.235714285709,4188
2021,HR,HU,1442.0538410256386,1538.47
2021,BA,HR,958.0019999999935,1188
2021,SI,HR,1843.1111578947357,1922
2021,BE,NL,3299.484007979624,3619.02
2021,DE,LU,0.5700175401068744,25.84
2021,HU,RO,646.4649818849689,769.15
2021,UA,HU,373.93475294117565,439.21
2021,HU,UA,738.848392706872,789.6
2021,EE,FI,1016.6123333333333,1016.8
2021,CH,AT,1852.2337515151476,2088.93
2021,FR,CH,3374.623456790117,3626
2021,MD,RO,0,0
2021,SE,FI,727.2330938215057,971.74
2021,PL,CZ,460.0126044444414,706.81
2021,SE,NO,3442.487229999997,3645.07
2021,DE,SE,609.0211936666666,609.51
2021,FI,RU,1502.769796078431,1513.5
2021,CZ,PL,2176.714479999999,2292.47
2021,BE,LU,148.11944999999977,155.85
2021,ES,FR,3619.6716209790193,3758.61
2021,NL,DE,3941.643876702027,4568.37
2021,DE,DK,3221.749478666658,3352.24
2021,DE,PL,925.5714142857131,1034.38
2021,LT,PL,494.09112842105253,496.49
2021,DK,NL,699.2727592592593,700.52
2021,HR,SI,1377.8859999999984,1536
2021,HR,RS,608.0454545454542,626
2021,RO,BG,1370.5120784313704,1440
2021,MK,RS,336.0259786363632,364.74
2021,RS,MK,307.88686554334527,323.5
2021,IT,SI,1175.5851809954745,1373.97
2021,IT,GR,509,509
2021,ME,IT,577.6376470588232,584
2021,NL,BE,3074.921857948713,4308.02
2021,DE,FR,4443.75295777777,4775.2
2021,DE,CZ,3355.8507789371943,3540.61
2021,FI,NO,109.13071407142843,116.1
2021,RO,HU,744.5828509090913,976.29
2021,NO,SE,3225.699473469384,3535.99
2021,SE,DK,2373.8971399999987,2447.74
2021,SE,DE,595.7982,595.96
2021,SK,PL,1334.5712902356895,1386.7
2021,AT,CZ,2788.1994078947337,3069
2021,FR,ES,3563.7627043478215,3772.02
2021,AT,IT,29.67461300309588,36
2021,DK,DE,3395.021345636351,3694.17
