MapCode,ProductionType,max_up,max_down,q999_up,q999_down
AT,Fossil Gas,1344,2064.8,769.0560000000058,867.472
AT,Fossil Hard coal,160,366.4,122.7280000000028,123.17599999999999
BA,Fossil Hard coal,1120.37,1115.67,487.57751000004305,421.3576800000001
BE,Fossil Gas,2386.1400000000003,2343.7800000000007,1157.5580999999981,1206.3584500000004
BE,Fossil Hard coal,0,0,0,0
BE,Nuclear,1714.0299999999997,2098.7999999999997,264.5468000000082,420.5439999999999
BG,Fossil Gas,131,152,37.10889999999979,55.56430000000005
BG,Fossil Hard coal,57,95,18.014000000002852,22
BG,Nuclear,1087,1093,126.88996000000623,165.0084
CH,Nuclear,2010.6,2016.3000000000002,520.06800000004,689.8940000000001
CZ,Fossil Gas,825.5999999999999,825.5999999999999,569.5653600000002,610.23868
CZ,Fossil Hard coal,324.44,281.55999999999995,109.96780000000244,154.6571
CZ,Nuclear,1465.8199999999997,1512.31,242.96416000001744,294.3773800000001
DE,Fossil Gas,9059.79,7845.15,3514.916889999984,3160.0920700000006
DE,Fossil Hard coal,8093.790000000001,9859.439999999999,3043.412849999995,2814.373
DE,Nuclear,2630.870000000001,2616.6900000000005,867.0965399999964,907.0834799999998
DK,Fossil Gas,394.62,294.49,201.86912000000012,184.32753000000005
DK,Fossil Hard coal,1069.28,999.53,404.28799999999984,344.60345000000007
EE,Fossil Gas,5.5,5.1,1.9999999999999996,1.8
ES,Fossil Gas,7872,9407,2895.8749999999927,3075.675
ES,Fossil Hard coal,888,1150,502.9499999999971,464.975
ES,Nuclear,2907,3144,170.97499999999854,393.95
FI,Fossil Gas,468.53,498.43,186.16820000000243,197.69940000000005
FI,Fossil Hard coal,979.4100000000001,778.86,168.63460000000018,192.78320000000002
FI,Nuclear,1764.2999999999997,1770.8999999999999,255.27200000000886,381.1399999999998
FR,Fossil Gas,4014,4855,1954.9579999999987,1990.979
FR,Fossil Hard coal,1148,1651,373,390.352
FR,Nuclear,20694,15183,3261.9159999999974,2814.7270000000003
GB,Fossil Gas,18614.19,18171.039999999997,8649.79700000017,11877.6553
GB,Fossil Hard coal,2637.8199999999997,2969.34,1633.681640000003,1717.65336
GB,Nuclear,6804,6809,1331.2739999999758,1465.49
GE,Fossil Gas,156.24,199.12,104.38000000000004,116.23700000000001
GR,Fossil Gas,1647,2021,988.9510000000009,935.804
HR,Fossil Gas,466.9,499.8,122.97719999999973,151.8689
HR,Fossil Hard coal,200.1,200.5,84.3284299999979,130.30082
HU,Fossil Gas,484.6099999999999,568.3199999999999,311.47364999999894,305.005
HU,Fossil Hard coal,29.220000000000002,36.79,7.5013999999998475,5.66442
HU,Nuclear,532.28,522.6100000000001,118.0394999999998,219.42209999999997
IE,Fossil Gas,1223.95,1048.13,527.1063600000028,518.4552
IE,Fossil Hard coal,338.01,334.11,187.2476800000007,200.28012
IT,Fossil Gas,20020,19644,5836.8320000001695,6035.813999999999
IT,Fossil Hard coal,2534,1846,712.994000000006,719.94
LT,Fossil Gas,435.18,435.21000000000004,209.51460000000137,253.6139
LU,Fossil Gas,37.36,43.92,18.80319999999949,18.2302
LV,Fossil Gas,388,528,250.96600000000035,259.949
MD,Fossil Gas,742,436,197,191.49400000000003
MD,Fossil Hard coal,0,0,0,0
NL,Fossil Gas,5652.9,5992.389999999999,2620.485279999989,2417.8515500000003
NL,Fossil Hard coal,1828.49,2509.5099999999998,790.479549999997,790.4831500000001
NL,Nuclear,480.2,484.22,80.69904999999773,73.95056000000004
NO,Fossil Gas,184,192.22,42.857949999999974,61.976110000000006
PL,Fossil Gas,508.65999999999985,558.1400000000001,312.67180000000457,333.4434
PL,Fossil Hard coal,4137.72,5947.870000000001,1790.4210000000132,1547.4790000000003
PT,Fossil Gas,2684.1,2946.7,856.4000000000001,914.0919999999999
PT,Fossil Hard coal,877.9,849.5999999999999,364.98800000000045,385.63
RO,Fossil Gas,856,870,393.31641000000087,461.5754699999999
RO,Fossil Hard coal,1277.14,1572.08,104.7682399999871,115
RO,Nuclear,718.19,722.5,113,194.398
RS,Fossil Gas,183,204,23,31.879999999999995
SE,Nuclear,1818,2078,253.89800000000105,473.966
SI,Fossil Gas,158.94,194.83999999999997,73.65260000000256,73.41563999999998
SI,Nuclear,696.71,696.76,32.69798000000168,13.285600000000095
SK,Fossil Gas,419.40000000000003,416.7,201.58109999999942,245.49790000000002
SK,Fossil Hard coal,64,70.3,29.79579999999987,39.300000000000004
SK,Nuclear,482.4000000000001,517.3,99.09789999999985,131.4307
UA,Fossil Gas,435,560,353.8590000000004,325.02599999999995
UA,Fossil Hard coal,2364,2872,984.7180000000008,1137.744
UA,Nuclear,999,1023,349.44900000000416,482.18
